cui	definition
C0238656	Painful ankle
C0311277	Central obesity
C0012739	Disseminated intravascular coagulation
C0152517	Viral diarrhoea
C0476289	Gas pain
C0151788	Eosinophilic myocarditis
C0243026	Sepsis
C1963818	Gastrointestinal sounds abnormal
C0020964	Immune status
C1142412	Vasodilation procedure
C1268766	Change in blood pressure
C0022107	Irritability
C0149911	Hypercalcaemia of malignancy
C0240713	Perineal laceration
C0851043	Lipids increased
C0948369	Myocardial reinfarction
C0021092	Cerumen impaction
C0948693	Post procedural discharge
C0016658	Fracture
C1328291	Dysaesthesia pharynx
C3160741	Toxicity to various agents
C0079773	Cutaneous T-cell lymphoma
C0270274	Vomiting neonatal
C0039971	Thirst
C1696700	C1 esterase deficiency acquired
C0241618	Vaginal burning sensation
C1737224	Post procedural swelling
C0855246	Abnormal sleep-related event
C0852977	Epilepsy aggravated
C1096509	Blood pancreatic amylase increased
C0240811	Prostate infection
C2609414	Acute kidney injury
C0242225	Colour blindness
C3203356	Hypoprothrombinaemia
C0152173	Ventricular flutter
C0016751	Fructose intolerance
C0026858	Musculoskeletal pain
C0033247	Proctocolitis
C0038354	Gastric disorder
C0022541	Kearns-Sayre syndrome
C1262044	Antibody test negative
C0455899	Pharyngeal erythema
C0016807	Intestinal functional disorder
C0025222	Melaena
C0003175	Anthrax
C0085682	Hypophosphataemia
C3160858	Posterior reversible encephalopathy syndrome
C0342881	Homozygous familial hypercholesterolaemia
C0520588	Vulvovaginal pain
C0151606	Oedema labial genital
C1112443	Male sexual dysfunction
C0266813	Faecal occult blood positive
C0002622	Amnesia
C0948266	Latent tetany
C0580550	Lymphocyte count abnormal
C0854717	Corneal epithelium disorder
C0030508	Parasomnia
C0344357	Nocturnal dyspnoea
C0231785	Carpo-pedal spasm
C0034215	Pyometra
C0019340	Herpes NOS
C0877440	Erythema periorbital
C0151629	Fixed eruption
C0426597	Fluid intake reduced
C0948976	Leukaemia cutis
C0850758	Pelvic pain female
C1279296	Chronic leukaemia
C0152436	Imperforate hymen
C0851881	Enterococcal infection
C0856882	Potassium increased
C0013182	Drug hypersensitivity
C1704320	Glomerulonephritis minimal lesion
C1504532	Post transplant diabetes mellitus
C0521208	Accident at home
C2242576	Oropharyngeal blistering
C0240327	Taste metallic
C0278061	Mental state abnormal
C0270844	Tonic convulsion
C0014358	Pseudomembranous enterocolitis
C0024291	Hemophagocytic lymphohistiocytosis
C0860752	Lactate increased
C0011175	Dehydration
C0856808	Polymorphonuclear leukocytosis
C0025362	Mental retardation
C0012833	Dizziness
C0268435	Proximal renal tubular acidosis
C1262195	Echoacousia
C0037199	Sinusitis
C0265962	Netherton's syndrome
C0020620	Hypohidrosis
C1704431	Electrolyte disturbance
C0032914	Pre-eclampsia
C0233818	Judgement impaired
C0948349	Respiratory tract congestion
C0010266	Cranial nerve disorder
C0848383	Eye ulcer
C0085694	Cholecystitis chronic
C0023890	Hepatic cirrhosis
C0520587	Vulvovaginal discomfort
C1096668	Instillation site irritation
C0235487	Embolism limb
C0349464	Wernicke-Korsakoff syndrome
C0920108	Fasting blood glucose increased
C1142151	Scleromalacia
C0041834	Erythema
C0236072	Bronchospasm paradoxical
C0235927	Vestibular ataxia
C0740441	Acute diarrhea
C0162565	Porphyria acute
C0012254	Digitalis toxicity
C1141863	Lymphocyte transformation test positive
C0521619	Pelvi-ureteric obstruction
C0149836	Atrophic vulvovaginitis
C0859371	Lip burning sensation of
C0549374	Lumbar disc lesion
C0742545	Colonic abscess
C0221242	Fixed drug eruption
C0263111	Perineal abscess
C0948240	Thyroxine free decreased
C0549536	Monocyte count decreased
C0375548	Nausea alone
C0542035	Hypoplasia erythroid
C0151579	Crystalluria
C0521158	Neoplasm recurrence
C0496899	Brain neoplasm benign
C1536009	Oesophageal oedema
C0542165	Pseudoparkinsonism
C0406650	Linear IgA disease
C0151595	Digitalis intoxication (NOS)
C0042130	Uterine contractions
C0521476	Nail bed infection
C0858617	Posterior subcapsular cataract
C3665444	Neutrophilia
C0149520	Cholecystitis acute
C0391839	PCO2
C0270996	Eye swelling
C2747813	Bacterial colonisation
C0852925	Gastrointestinal necrosis
C0948245	Cytokine release syndrome
C0085669	Acute leukaemia
C1540600	Seizure cerebral
C0855565	Beta 2 microglobulin increased
C2225524	Breast enlargement
C0020604	Hypochondriasis
C0438142	Urine analysis abnormal
C0020565	Hypertrophy of breast
C0235031	Neurological symptom
C0281863	Hepatitis C antibody positive
C0005697	Neurogenic bladder
C0395005	Polydipsia psychogenic
C0853750	Blood magnesium decreased
C0151848	Acid phosphatase high
C0032987	Ectopic pregnancy
C0042170	Vogt-Koyanagi-Harada syndrome
C0236141	Electrocardiogram abnormal specific
C0856171	Coronary artery disease aggravated
C0018924	Haemarthrosis
C0018949	Spinal cord haemorrhage
C0588128	Implant infection
C0162835	Leukoderma
C0013240	Alveolar osteitis
C0578687	Sore eye
C0239521	Facial rash
C0001916	Albinism
C0028081	Night sweats
C0235416	Blood uric acid increased
C0085679	Hyperchloraemia
C0010263	Cramp of limb
C0151684	Granuloma skin
C0235353	Tooth caries aggravated NOS
C0948008	Ischaemic stroke
C0013781	Electric shock
C0033578	Neoplasm prostate
C1096001	Application site swelling
C0269842	Uterine hypertonus
C0007177	Cardiac tamponade
C0877089	Vaginal mucosal blistering
C0919590	Injection site cellulitis
C0001396	Adams-Stokes syndrome
C0233481	Worry
C0013595	Eczema
C0019348	Herpes simplex
C0019087	Haemorrhagic disorder
C0042380	Vascular resistance
C0877225	Bone density decreased
C0333516	Tumour necrosis
C0002871	Anaemia
C0026272	Mixed connective tissue disease
C1096543	Superficial punctate keratopathy
C0549567	Pigmentation disorder
C0011881	Diabetic nephropathy
C0302832	Obsessional neurosis
C0033038	Premature ejaculation
C0020538	Hypertension
C2718128	Nasal inflammation
C0877173	Food aversion
C0270994	Steroid myopathy
C0854069	Tumour pain
C0151766	Liver function test abnormal
C0580417	International normalised ratio abnormal
C0152002	Renal vasculitis
C0341164	Gastric ulcer haemorrhage
C0919568	Impatience
C0151625	Enzyme abnormality
C1262036	Ocular toxicity
C0006444	Bursitis
C0574741	Skin bleeding
C0007280	Carotid bruit
C0234047	Ejaculation delayed
C0857457	Digoxin effect
C1167732	Pleuropericarditis
C0394006	Disequilibrium syndrome
C0549475	Lipase increased
C1305875	Fibroadenosis of breast
C0235895	Implantation complication
C0020458	Hyperhidrosis
C0004095	Asthenopia
C3160944	Vulvovaginal swelling
C0854210	Incomplete precocious puberty
C0948765	Cyclosporine toxicity
C0036690	Septicemia
C0276141	Bronchitis viral
C1112525	Gastrointestinal ulcer haemorrhage
C0151885	Reaction aggravation
C0234230	Pain burning
C1536052	Oral mucosal exfoliation
C0038525	Subarachnoid haemorrhage
C0023052	Laryngeal oedema
C0595916	Nephropathy toxic
C0235248	Vasoconstriction peripheral
C1306600	Radial nerve palsy
C0856050	Diet refusal
C0423234	Punctate epithelial erosion
C0151815	Mesenteric occlusion
C0086168	Dissociation
C0007113	Rectal cancer
C0441713	Chemical injury
C0343361	Gastroenteritis adenovirus
C0027092	Myopia
C1096252	Cardiac discomfort
C0014742	Erythema multiforme
C0553690	Reversible ischaemic neurological deficit
C0018099	Gout
C0235108	Feeling tense
C2987469	Substance-induced psychotic disorder
C0034561	Dermatitis radiation NOS
C0341047	Parotid gland enlargement
C0151669	Gamma globulins increased
C0023501	Leukaemoid reaction
C0151767	Liver tenderness
C0001816	Agnosia
C0853040	Reaction to drug excipients
C0155369	Vitreous prolapse
C0003469	Anxiety disorder
C0003864	Arthritis
C0162298	Joint stiffness
C0014173	Endometrial hyperplasia
C0270276	Grey syndrome neonatal
C0006846	Skin candida
C0159066	Abdominal rigidity
C0149514	Acute bronchitis
C0740472	Calcium abnormal NOS
C0008370	Cholestasis
C0276252	Cytomegalovirus hepatitis
C0020615	Hypoglycaemia
C0001883	Airway obstruction NOS
C0849913	Localized erythema
C0033817	Pseudomonas infection
C0150045	Urge incontinence
C0011644	Scleroderma
C0235649	Breast oedema
C1262091	Lymphocytic infiltration
C0743575	Oesophageal irritation
C0854524	Peridiverticular abscess
C0334082	Epidermal naevus
C0001349	Acute phase reaction
C0151628	Epiphyses premature fusion
C1963824	Shortened cervix
C0037052	Sick sinus syndrome
C0151825	Bone pain
C1698976	Infusion site urticaria
C3665346	Unspecified visual loss
C0235462	Anginal attack
C0549257	Loss of confidence
C0239161	Dactylitis
C1328447	Brain stem syndrome
C0151936	Tendon disorder
C0037278	Skin infection
C0085602	Polydipsia
C0041408	Turner's syndrome
C0269188	Uterine cyst
C0023532	Leukoplakia oral
C0152168	Spasm of sphincter of Oddi
C0342548	Early menarche
C1383860	Cardiac hypertrophy
C0858277	Angina symptom
C0043541	Zygomycosis
C0434437	Joint sprain
C0264714	Cardiac failure acute
C0855625	Bilirubin conjugated increased
C0595900	Blood chloride increased
C0221278	Anisocytosis
C0161479	Nerve injury
C0162291	Retinal ischaemia
C0857245	Redness of face
C0221345	Nail discolouration
C0863147	Glucose urine increased
C1701474	Argumentativeness
C0155796	Varicose veins vulval
C0677483	Carcinoma testes
C1262064	Oculogyration
C1696157	Gastrointestinal stoma complication
C0546956	Onychoclasis
C0948695	White blood cell count low
C0859062	Serum bilirubin increased
C0262985	Dermatitis psoriasiform
C0034544	Radiculitis
C0041974	Urethral stenosis
C0853348	Arthropod bite
C0853203	Smear cervix normal
C0541947	Excitation cerebral
C0920171	Foreign body sensation in eyes
C0854135	Infection pseudomonas aeruginosa
C0027609	Drug withdrawal syndrome neonatal
C2609174	Tongue pigmentation
C0085932	Dermatitis bullous
C0043241	Wound infection
C0233762	Hallucination, auditory
C0596170	Binge eating
C0042909	Vitreous haemorrhage
C0235296	Epigastric pain not food-related
C0085436	Meningitis cryptococcal
C0021100	Bullous impetigo
C0221185	Xanthopsia
C0032001	Pituitary apoplexy
C0549250	Jaw stiffness
C0013922	Embolism
C0751908	Vestibular neuronitis
C0278126	Equilibrium loss
C0919909	Tonic clonic movements
C3160771	Sperm concentration decreased
C0042510	Ventricular fibrillation
C1291078	Epigastric discomfort
C0859253	Microhemorrhage
C0236101	Neonatal and infancy disorder
C0877126	Application site inflammation
C0858708	Itch burning
C0004093	Asthenia
C0152227	Lacrimation increased
C0948815	Catheter site erythema
C0037023	Sialoadenitis
C0221392	Vaginitis atrophic
C1527383	Morphoea
C0026603	Motion sickness
C0027719	Nephrosclerosis
C0424323	Violent behavior
C0518988	Tooth abscess
C0240035	Lung fibrosis interstitial
C1262005	Ischaemic cerebral infarction
C0549391	Bladder discomfort
C0740832	End stage AIDS
C0239062	Circumoral oedema
C2242727	Tumour compression
C0239295	Oesophageal candidiasis
C0271412	Ear haemorrhage
C0033778	Pruritus vulvae
C0262493	Gallbladder polyp
C0311468	Blood bilirubin increased
C0155765	Microangiopathy
C3495947	Atypical stress fracture
C0029882	Otitis media
C0858589	Coordination disturbance
C0541887	Discomfort rectal
C0006142	Breast cancer
C0424535	Vasovagal symptoms
C0239589	Pain in fingers
C0856115	Diverticulitis aggravated
C0023222	Leg pain
C0026640	Oral neoplasm
C0877035	Oestrogenic effect
C1142530	Vitamin K decreased
C0577628	Latex allergy
C0856761	Budd-Chiari syndrome
C0948992	Paresthesia lower limb
C0427086	Movements involuntary
C0018129	Transplant rejection
C0235195	Sedation
C0085619	Orthopnoea
C0585186	Cutaneous hypersensitivity
C0473311	Haemorrhagic ovarian cyst
C0473120	Intra-abdominal haematoma
C0205204	Scab
C0919625	Blood phosphorus increased
C0238097	Encephalitis cytomegalovirus
C0000932	Traffic accident
C0425946	Short period
C1960509	Epidural lipomatosis
C0235290	Taste bitter
C0239729	Genital rash
C1696704	Ovarian haemorrhage
C0019322	Umbilical hernia
C0560024	Swelling of eyelid
C0242073	Pulmonary congestion
C0023211	Bundle branch block left
C0032633	Dyshidrotic eczema
C0549277	Gastritis aggravated
C0013295	Duodenal ulcer
C0235853	Pemphigoid reaction
C1735914	Recurrent pulmonary embolism
C0022573	Keratoconjunctivitis
C0231874	Wheezing inspiratory
C1112436	QRS axis abnormal
C0035222	Acute respiratory distress syndrome
C0239488	Erythema facial
C0085077	Acute febrile neutrophilic dermatosis
C1262113	Lipohypertrophy
C0032529	Genetic polymorphism
C0037036	Salivary hypersecretion
C0234983	Delirium toxic
C0277631	Strangulation
C0024312	Lymphopenia
C0153251	Respiratory moniliasis
C0580413	Prothrombin time shortened
C0235453	Steroid withdrawal syndrome
C0948429	Diuretic effect
C1140680	Ovarian cancer
C0853142	CD4 lymphocytes decreased
C0236826	Expressive language disorder
C0376286	Avitaminosis
C0032961	Pregnancy
C2363914	Post procedural constipation
C0863087	Decreased immune responsiveness
C0024137	Cutaneous lupus erythematosus
C0858209	Thrombosis leg
C0013312	Dupuytren's contracture
C0014306	Enophthalmos
C0013369	Dysentery
C0855652	Culture negative
C0221244	Dandruff
C0277589	Found dead (cause undetermined)
C0595885	Serum potassium decreased
C0857121	Hypertensive
C0428982	Nodal tachycardia
C0438167	Electrocardiogram T wave abnormal
C0017636	Glioblastoma
C0019212	Hepatorenal syndrome
C0235475	Electrocardiogram QRS complex prolonged
C0040262	Tinea versicolour
C0002726	Amyloidosis
C0017105	Gas gangrene
C0853254	Nasal passage irritation
C0012813	Diverticulitis
C0520893	Localized exfoliation
C0232097	Volume plasma increased
C0312420	Hypersexuality
C0162830	Photosensitivity reaction
C0017979	Glycosuria
C0005681	Blackwater fever
C1142175	Shunt thrombosis
C0334040	Extraskeletal ossification
C0235309	Upset stomach
C2747852	Device related sepsis
C2939419	Metastatic neoplasm
C0152192	Scotoma of blind spot area
C0858118	Plasma creatinine increased
C0019214	Hepatosplenomegaly
C0162824	Photocontact dermatitis
C1504465	Device malfunction
C0152149	Ovulation pain
C0027121	Myositis
C0852908	Drug ineffective
C0020578	Hyperventilation
C0151310	Paresthesia generalized
C1739418	Acute cardiac toxicity
C3665795	Microembolism
C0028643	Numbness
C0152965	Staphylococcal bacteraemia
C0023646	Lichen planus
C1608397	Device occlusion
C0745528	Klebsiella sepsis
C0520539	Hypertensive episode
C0242184	Hypoxia
C0521465	Toxic skin eruption
C0853008	Parkinson's disease aggravated
C0149526	Allergic urticaria
C0019147	Coma hepatic
C1504494	Tingling of extremity
C0035204	Respiratory disorder
C0857175	Postinfarction
C0030343	Panuveitis
C0373705	Progesterone
C1696574	Application site erosion
C0406305	Eosinophilic pustular folliculitis
C0038002	Splenomegaly
C0424790	Rigors
C0438434	Scotoma annular
C0455880	Poor urinary stream
C0233612	Waxy flexibility
C0151865	Pregnancy test false positive
C0239725	Genital pain
C0494491	Mononeuropathy
C0542239	Tired and heavy
C0007860	Cervicitis
C0014457	Eosinophilia
C0034069	Pulmonary fibrosis
C0458247	Allodynia
C0231218	Malaise
C1320474	Nuchal rigidity
C0852952	Optic nerve cupping
C0015423	Eyelid disorder
C0858603	Wave slowing
C0025290	Meningitis aseptic
C0206624	Hepatoblastoma
C3536794	Feeling sad
C0559546	Adverse reaction
C1868843	Injection site dryness
C0595902	Blood chloride decreased
C3203661	Bilirubin total low
C0858078	Serum bicarbonate increased
C0877038	Electrocardiogram poor R-wave progression
C0858259	Nasal discomfort
C1739363	Prostatic hypertrophy
C0008526	Choroiditis
C0027438	Nasopharyngeal disorder
C0268407	Cardiac amyloidosis
C0020564	Hypertrophy
C0020522	Type IV hypersensitivity reaction
C0521991	Stress symptoms
C0858899	Attention concentration difficulty
C0151559	CNS depression NOS
C0041981	Uric acid level increased
C0232498	Abdominal tenderness
C0036835	TIBC
C0032776	Postmenopausal haemorrhage
C0856100	Pancreatitis aggravated
C2712054	Dyspnoea at rest
C0030583	Parotitis
C0424813	Orbital oedema
C0239816	Hand dermatitis
C0343084	Capillary leak syndrome
C0007869	Uterine cervical erosion
C0018213	Basedow's disease
C0948991	Injection site discolouration
C0031024	Dentoalveolar abscess
C1390484	Skull hypoplasia
C0853754	Blood osmolarity increased
C0426636	Defaecation urgency
C0401151	Chronic diarrhea
C0853074	Anxiety NEC
C0038019	Spondylosis
C0018839	Heat exhaustion
C0027720	Nephrosis
C0877266	Upper respiratory tract inflammation
C0013336	Dwarfism
C1868771	Peritoneal cloudy effluent
C0001125	Lactic acidosis
C1610622	Coital bleeding
C0233746	Perceptual disturbance
C0006157	Breech presentation
C0267509	Chronic idiopathic constipation
C1510472	Drug dependence
C0008728	Allergic granulomatous angiitis
C1455782	Vagotonia
C0427008	Stiffness
C0023480	Chronic myelomonocytic leukaemia
C0151735	Injection site reaction
C0155919	Acute pulmonary oedema
C0221165	Diplegia
C0151882	Purpuric rash
C0853018	Blood thyroid stimulating hormone decreased
C0030354	Papilloma
C0853331	Toxic pustuloderma
C0024003	Lordosis
C0014544	Epilepsy
C0410918	Tachycardia foetal
C0271051	Macular oedema
C0151477	Hormone level abnormal
C0042133	Uterine leiomyoma
C0949059	Large intestine polyp
C0020492	Hyperostosis
C2243080	Intestinal necrosis
C0549385	Feeling of body temperature change
C0278106	Ejaculation failure
C0858924	General discomfort
C0017551	Gilbert's syndrome
C0948089	Acute coronary syndrome
C1263960	Diabetic coma
C0019364	Ophthalmic herpes zoster
C0857448	Serum urea increased
C0948808	Catheter blockage
C0267953	Pancreatic necrosis
C1142028	Peripheral nerve palsy
C0476414	Thyroid function test abnormal
C0877055	Acute generalised exanthematous pustulosis
C0007078	Carbuncle
C0085697	Pyelonephritis chronic
C0239302	Oestrogen low
C0521170	Osteoporotic fracture
C0039614	Tetanus
C0149904	Hepatitis cholestatic
C0855977	Carotene decreased
C0032708	Porphyrin metabolism disorder
C0235573	Haemoglobinaemia
C0005686	Bladder disorder
C0026826	Hypertonia
C0030326	Panniculitis
C0460048	Large intestinal obstruction
C0042721	Hepatitis viral
C0867389	Chronic graft versus host disease
C0024894	Mastitis
C0004096	Asthma
C1142159	Intentional misuse
C0041667	Underweight
C0014170	Endometrial neoplasm
C0863113	Hypotension symptomatic
C1142086	Vitamin E decreased
C0238051	Vasculitis cerebral
C0085610	Sinus bradycardia
C0037763	Muscle spasms
C0269993	Suppressed lactation
C0041601	Ulna fracture
C0234146	Areflexia
C0235396	Hypertonicity
C0920192	Descemetitis
C0162638	Apoptosis
C0856554	Hepatic cancer metastatic
C0549273	Abdominal pain aggravated
C0015806	Femoral neck fracture
C0242151	Violent
C0039520	Tenosynovitis
C0233976	Clitoral engorgement
C0232410	Hair growth increased
C0751494	Convulsive seizure
C1328411	Post procedural haematoma
C0235667	Mastitis acute female
C0236061	Haptoglobin increased
C1142115	Enterocolitis infectious
C0029095	Opioid abuse
C0428895	Labile blood pressure
C0235259	Cataract subcapsular
C1963864	Myelodysplastic syndrome transformation
C0522067	Hepatic pain
C0595879	Sodium high
C1861172	Venous thromboembolism
C0019079	Haemoptysis
C0426649	Bowel spasm
C1561643	Chronic kidney disease
C0231835	Tachypnoea
C1168290	Drug-induced hypersensitivity syndrome
C0030319	Panic disorder
C0272774	Foot fracture
C0520802	Radiation recall syndrome
C0026961	Mydriasis
C0235433	Fat tissue increased
C0025500	Mesothelioma
C0542175	Rash pemphigoid
C0237314	Heart rate irregular
C0041976	Urethritis
C0751674	Lymphangioleiomyomatosis
C0546343	Mucosal erosion
C2242708	Hypertransaminasaemia
C1557335	Ocular surface disease
C1096035	Infusion site pain
C0162823	Dermatitis irritant contact
C0744369	Genital lesion
C0023070	Laryngopharyngitis
C0023182	Cerebrospinal fluid leakage
C0221232	Welts
C0270629	Extradural abscess
C0236023	Periodontal destruction
C0242301	Furuncle
C0221021	Microangiopathic haemolytic anaemia
C0948014	Red cell distribution width increased
C0014038	Encephalitis
C0085129	Bronchial hyperreactivity
C0003910	Phonological disorder
C0341751	Bladder necrosis
C0919591	Urogenital haemorrhage
C0011334	Dental caries
C0857576	Thyroid function abnormal
C0232333	Electrocardiogram U wave present
C0007766	Intracranial aneurysm
C0021605	Insomnia NEC
C0403723	Candiduria
C0341503	Peritonitis bacterial
C0016722	Frigidity
C0238844	Respiratory sounds decreased
C0679401	Vascular rupture
C2939427	Hypoesthesia tongue
C0001127	Respiratory acidosis
C1096278	Anterior chamber inflammation
C0541820	Carbohydrate tolerance decreased
C0853938	Nocturia aggravated
C0004044	Asphyxia
C0011206	Delirium
C0853019	Blood thyroid stimulating hormone increased
C0022667	Renal papillary necrosis
C0156312	Testicular atrophy
C0041657	Loss of consciousness
C0235546	Hypopnoea
C0151601	Conjunctival oedema
C0427108	Unsteadiness
C0002949	Artery dissection
C0005959	Marrow hyperplasia
C0020459	Hyperinsulinism
C0235218	Skin warm
C0162678	Neurofibromatosis
C0221147	Platelet production decreased
C0263530	Nail longitudinal striations
C0302590	Disorder calcium (NOS)
C0853924	Tinnitus aggravated
C0541923	Lip oedema
C0861111	Cardioactive drug level increased
C0151729	Immunoglobulins increased
C0860749	Blood neutrophil count decreased
C1262168	Cholecystitis infective
C0858249	Increased agitation
C0036202	Sarcoidosis
C0221725	Bronchial obstruction
C0006261	Bronchial disorder
C0235280	Ototoxicity
C0007642	Cellulitis
C0948048	Malignant neoplasm progression
C0006112	Metabolic encephalopathy
C0424296	Disinhibition
C0178298	Unspecified disorder of skin and subcutaneous tissue
C0036439	Scoliosis
C0312414	Spotting menstrual
C1096286	Transaminases decreased
C0004606	Background diabetic retinopathy
C0520594	Breast microcalcification
C0853939	Oral mucosal discolouration
C0235851	Hyperbilirubinemia aggravated
C0264523	Pulmonary ossification
C0234458	Abnormal dreams
C0042850	Vitamin B complex deficiency
C0234193	Sensation of heat
C0156353	Uterovaginal prolapse
C0152196	Spasm of accommodation
C0009595	Obsessive-compulsive personality disorder
C0232849	Bladder pain
C0877717	Burning mouth
C0740281	Multiple allergies
C0019193	Hepatitis toxic
C0232487	Abdominal discomfort
C2930821	Keratitis sicca
C0553706	Serum phosphate increased
C0233414	Disturbance in attention
C0231530	Muscle twitching
C0549363	Hot dry skin
C0853772	Blood calcium abnormal
C1392046	Cardiovascular insufficiency
C0235721	Heaviness in limbs
C0541922	Eczema allergic atopic
C0004030	Aspergillosis
C0151474	Alcohol intolerance
C0235472	Pulse abnormal
C0272380	Tonsillar disorder
C0234199	Pallanesthesia
C2349423	Medication overuse headache
C0006285	Bronchopneumonia
C0221069	Anterior spinal artery syndrome
C0860942	Creatine increased
C0151536	Bronchostenosis
C3241936	Non-cardiogenic pulmonary oedema
C0158775	Spine malformation
C0269189	Ectropion of cervix
C0031048	Pericarditis constrictive
C0235480	Paroxysmal atrial fibrillation
C0000786	Abortion spontaneous
C0014860	Oesophageal perforation
C0003862	Arthralgia
C0423791	Rash maculo-papular
C0332798	Open wound
C0010036	Corneal dystrophy
C0038826	Superinfection
C0852203	Fluoride increased
C0151564	Cogwheel rigidity
C0005716	Blastomycosis
C0010823	Cytomegalovirus infection
C2697368	Gastrointestinal tract irritation
C1959622	Vein distended
C0231919	Nasal dryness
C0155111	Bullous keratopathy
C0085620	Paralysis flaccid
C0007099	Carcinoma in situ
C0861171	Gritty feeling in eyes
C0812387	Coldness
C0036358	Schizophreniform disorder
C0022650	Calculus of kidney
C0019054	Haemolysis
C2240374	Eosinophil count increased
C0858833	Endometrial hypertrophy
C0001126	Renal tubular acidosis
C0011880	Diabetic ketoacidosis
C1328552	Extrapulmonary pneumocystosis
C0025218	Chloasma
C0424786	Postoperative fever
C0153392	Nasopharyngeal cancer
C0030793	Pelvic neoplasm
C0877617	Intestinal cramps
C1096496	Blood testosterone free increased
C0003507	Aortic valve stenosis
C0234547	Drug withdrawal convulsions
C1522058	Coagulation necrosis
C0553686	Brain herniation
C0011071	Sudden death
C0236167	IUD complication
C0009269	Cold intolerance
C0854372	Mastication disorder
C0151689	Hair discoloration
C0242648	Vertical infection transmission
C0405580	Adrenal cortical hypofunction
C0013238	Dry eye syndrome
C0002453	Amenorrhoea
C0554976	Bradyphrenia
C0700639	Congenital hypertrophic pyloric stenosis
C0748055	Psychiatric decompensation
C0235575	Hemolytic reaction
C0236174	Reticuloendothelial system stimulated
C0020581	Hyphaema
C0877153	Neutropenic sepsis
C0221100	Hangover
C0010598	Cyclothymic disorder
C0346989	Metastases to peritoneum
C0152115	Orofacial dyskinesia
C0748318	Progressive renal failure
C0032768	Post herpetic neuralgia
C0220994	Hyperammonaemia
C0742906	C-reactive protein increased
C0022568	Keratitis
C0151998	Uterine spasm
C0020302	Developmental glaucoma
C0162287	Abnormal faeces
C0236051	Tolerance development
C1306587	Encephalopathy acute
C0334660	Intravascular large B-cell lymphoma
C1536070	Renal insufficiency aggravated
C0278107	Painful ejaculation
C0233773	Hypnagogic hallucination
C0034050	Alveolar proteinosis
C0700078	Tendon reflex decreased
C0920103	Haematotoxicity
C1510412	Vascular pseudoaneurysm
C0740434	Direct bilirubin increased
C0428886	Mean arterial pressure
C0150077	Skin breakdown
C1262106	Neuromuscular toxicity
C0280313	Oropharyngeal squamous cell carcinoma
C0221776	Oral pain
C2981158	Loss of libido
C0232861	Penile discharge
C0034212	Pyoderma
C2939420	Metastatic disease
C0241934	Hypomania
C1322253	Eczema infected
C0151919	Bladder stenosis
C0156394	Enlarged clitoris
C0235006	Hypersensation skin
C0406458	Diffuse alopecia
C0541772	Ammonia increased
C0003460	Anuria
C0730328	Central serous retinopathy
C0269268	Breast induration
C3489393	Hiatus hernia
C0162429	Malnutrition
C0036508	Seborrhoeic dermatitis
C0268800	Congenital renal cyst
C0238807	Bone tenderness
C0392548	Cauda equina syndrome
C0241619	Vaginal cyst
C0239998	Recurrent infection
C0235074	Tongue paralysis
C0002418	Amblyopia
C0029878	Otitis externa
C0005745	Eyelid ptosis
C0038325	Stevens-Johnson syndrome
C0852913	Blood amylase increased
C1737214	Injection site injury
C1536075	Sudden unexplained death in epilepsy
C0849796	Ear congestion
C0235821	Therapeutic response increased
C0021899	IUD expelled
C0234967	Choreoathetoid movements
C0032131	Plasmacytoma
C0740471	Creatinine abnormal NOS
C1955743	Mineralocorticoid deficiency
C0476463	Found dead
C0149892	Gingival abscess
C0151490	Congenital central nervous system anomaly
C0400877	Postoperative ileus
C0031925	Pilonidal cyst
C0423813	Splitting nails
C0581395	Penile infection
C0011351	Hypoplasia enamel
C1167745	Extremity necrosis
C0024110	Lung abscess
C0521160	Rash psoriaform
C0521498	Injection site irritation
C0155862	Pneumonia streptococcal
C0151763	Hepatocellular injury
C1096272	Vanishing bile duct syndrome
C0855304	Glycosylated haemoglobin decreased
C1697943	Epidermal growth factor receptor decreased
C0522153	Urine color abnormal
C1318314	Epithelial cells urine
C0919603	Application site urticaria
C0521554	Congenital vesicoureteric reflux
C3160947	CNS toxicity
C0521626	Bladder fibrosis
C0267797	Hepatitis acute
C0852810	Blood creatinine decreased
C0861120	Albumin urine increased
C0858678	Alopecia reversible
C3160770	Minor bleed
C0033948	Female orgasmic disorder
C0037299	Skin ulcer
C0037301	Skin wrinkling
C0278883	Metastatic melanoma
C0522351	Vertigo positional
C0700613	Anxiety state
C0178316	Upper limb fracture
C0027709	Nephrocalcinosis
C0042755	Virilism
C0233415	Distractibility
C0521501	Injection site thrombosis
C0029574	Other dermatoses
C0342405	Pituitary infarction
C0853946	Pain worsened
C0023798	Lipoma
C0877047	Occult blood positive
C0035410	Rhabdomyolysis
C0019189	Chronic hepatitis
C1142423	Staphylococcus aureus bacteremia
C0017411	Genital disorder female
C1283048	Iron binding capacity total
C0238461	Anaplastic thyroid cancer
C0595876	Calcium intoxication
C0010032	Corneal abrasion
C0850149	Dry cough
C0151666	Gammaglobulins decreased
C0037320	Sleep terror
C1320835	Drug fever
C0751837	Ataxic gait
C0007103	Endometrial neoplasm malignant
C0425591	Dropped beats
C0007462	Causalgia
C0403632	Cystitis noninfective
C0234373	Tremor fine
C0853893	Device interaction
C0521839	Influenza like illness
C0271710	Hypoglycemic reaction
C0877468	Rash mouth
C0860661	Oppositional
C0006370	Bulimia
