C1263960	Diabetic coma
C0027721	Lipoid nephrosis
C0017572	Gingival recession
C0020443	Hypercholesterolaemia
C0877192	Lipodystrophy acquired
C0027059	Myocarditis
C0410916	Death neonatal
C1561230	Soft tissue necrosis
C0001396	Adams-Stokes syndrome
C1291078	Epigastric discomfort
C0429098	Electrocardiogram QRS complex
C0042384	Vasculitis
C0155365	Vitreous disorder
C0016470	Food allergy
C0740425	Taste altered
C0017675	Glossitis
C0344320	Vivid dreams
C0269189	Ectropion of cervix
C0031575	Phocomelia
C0029928	Ovarian disorder
C0235653	Breast cancer female
C0034069	Pulmonary fibrosis
C0010346	Crohn's disease
C3495801	Granulomatosis with polyangiitis
C0235874	Condition aggravated
C0266998	Oral soft tissue disorder NOS
C0005695	Bladder neoplasm
C0162627	Skin bacterial infection
C0853347	Venous thrombosis limb
C0023510	White blood cell disorder
C0221232	Welts
C0085576	Microcytic anaemia
C3665473	Deafness bilateral
C0013592	Ectropion
C0263962	Olecranon bursitis
C0333472	Epidermolysis
C0007971	Cheilitis
C0151577	Creatinine renal clearance decreased
C0151714	Hypermagnesaemia
C0006107	Concussion
C0038661	Suicide
C1956089	Bone spur
C0027343	Ingrowing nail
C0282193	Iron overload
C0037036	Salivary hypersecretion
C0034072	Cor pulmonale
C0019163	Hepatitis B
C0853986	Lymphocyte count decreased
C0236101	Neonatal and infancy disorder
C0239488	Erythema facial
C1608945	Exfoliative rash
C0948425	Large intestinal haemorrhage
C0014118	Endocarditis
C0221201	Rash macular
C0311245	Congenital cystic kidney disease
C0022658	Nephropathy
C1142112	Eyelash thickening
C0877095	Application site haematoma
C0851980	Peritoneal infection
C0410918	Tachycardia foetal
C0496901	Pituitary tumour benign
C0149709	Hepatitis B surface antigen positive
C0151788	Eosinophilic myocarditis
C1328540	Peripheral vasodilatation
C0011609	Drug eruption
C0853946	Pain worsened
C0151526	Premature delivery
C0853018	Blood thyroid stimulating hormone decreased
C0241357	Testosterone low
C1275515	Venomous bite
C0006147	Breast feeding
C0277889	Blood pressure diastolic increased
C0855931	Cardioactive drug level above therapeutic
C0868908	Pancolitis
C0239233	Early satiety
C1735601	Floppy iris syndrome
C0011057	Sudden hearing loss
C0031037	Periarthritis
C1306600	Radial nerve palsy
C0855619	Alanine aminotransferase abnormal
C0239517	Facial paresthesia
C0549264	Sensation of blood flow
C0428886	Mean arterial pressure
C3203695	Noninfectious peritonitis
C0235032	Neurotoxicity
C0858346	Gastrointestinal ulcer perforation
C0151838	Circumoral paresthesia
C0002891	Anaemia neonatal
C0017181	Gastrointestinal haemorrhage
C0086439	Hypokinesia
C0518015	Haemoglobin
C1761613	Conjunctival hyperaemia
C0151610	Tongue oedema
C0521492	Application site ulcer
C0877617	Intestinal cramps
C0392618	Postoperative infection
C2711227	Hepatic steatosis
C0020903	Illusion
C3160947	CNS toxicity
C0018991	Hemiplegia
C0427055	Facial paresis
C0878544	Cardiomyopathy
C0595929	Cholesterol serum elevated
C0476427	Smear cervix abnormal
C0027013	Myeloid metaplasia
C0020578	Hyperventilation
C0020507	Hyperplasia
C0853879	Breast cancer invasive NOS
C0521987	Pre-existing disease
C0006384	Bundle branch block
C0040425	Tonsillitis
C0151730	Drug effect increased
C0007274	Carotid artery thrombosis
C0877153	Neutropenic sepsis
C0029445	Osteonecrosis
C0400823	Neutropenic colitis
C0728899	Intoxication
C0268671	Korsakoff's psychosis (non-alcoholic)
C0234047	Ejaculation delayed
C0014549	Grand mal convulsion
C0013080	Trisomy 21
C0020456	Hyperglycaemia
C0235329	Small intestinal obstruction
C0231686	Unsteady gait
C1096250	Gastrointestinal discomfort
C0700613	Anxiety state
C0016977	Gallbladder disorder
C0013238	Dry eye syndrome
C2047937	Ill-defined disorder
C0857122	Hyponatraemic
C0235573	Haemoglobinaemia
C0155773	Portal vein thrombosis
C0544618	Orthostatic hypertension
C0028840	Ocular hypertension
C0235896	Lung infiltration
C0154251	Lipid metabolism disorder
C0151580	Crystalluria calcium
C1142446	Bicytopenia
C0236053	Mucosal ulceration
C0030353	Papilloedema
C0014335	Enteritis
C0002064	Respiratory alkalosis
C1320474	Nuchal rigidity
C0859023	Talkativeness
C0860713	Carbon dioxide increased
C0151559	CNS depression NOS
C0234913	Rash erythematous
C0586553	Thyrotropin high
C0234458	Abnormal dreams
C0022346	Jaundice
C0856554	Hepatic cancer metastatic
C0853117	Blood testosterone decreased
C0037089	Gastrointestinal signs and symptoms
C0006142	Breast cancer
C0085619	Orthopnoea
C1142011	Orchitis noninfective
C0919625	Blood phosphorus increased
C0855335	Electrocardiogram ST segment abnormal
C0267166	Gastroduodenitis
C0041912	Upper respiratory tract infection
C0021177	Libido increased
C0231749	Knee pain
C0232286	Precordial pain
C0013595	Eczema
C0085684	Footdrop
C2242737	Anorectal discomfort
C0342579	Electrolyte imbalance
C0541760	Hepatic adenoma
C0024282	Lymphocytosis
C2363730	Oropharyngeal discomfort
C0220981	Metabolic acidosis
C1168225	Inner ear infection
C0267509	Chronic idiopathic constipation
C0235347	Black hairy tongue
C0235194	Tranquillisation excessive
C0919590	Injection site cellulitis
C0015468	Facial pain
C0423285	Keratic precipitates
C0344315	Depressed mood
C0007859	Neck pain
C0267797	Hepatitis acute
C0024894	Mastitis
C0006277	Bronchitis
C0269842	Uterine hypertonus
C0520588	Vulvovaginal pain
C0542101	Nasal burning
C0242301	Furuncle
C0151693	Adrenal haemorrhage
C0003126	Anosmia
C1720775	Renal tubular necrosis
C0270922	Demyelinating polyneuropathy
C1142492	Postinfarction angina
C0026961	Mydriasis
C0158281	Cervicobrachial syndrome
C0740380	Varicella zoster
C3248383	Logorrhoea
C0022672	Nephrosis lower nephron
C0851891	Influenza viral infections
C0043037	Common wart
C0019112	Haemorrhoids
C1611157	Hepatic infiltration eosinophilic
C0221158	Multifocal atrial tachycardia
C0476280	Musculoskeletal chest pain
C0235883	Uterine inflammation
C0002895	Sickle cell anaemia
C0018213	Basedow's disease
C0021361	Infertility female
C0577115	Soft stools
C0747979	Increased prolactin level
C0039338	Taste disorders
C0006325	Bruxism
C0853336	Corneal infiltrates
C0002878	Haemolytic anaemia
C0030807	Pemphigus
C0522224	Paralysis
C0239981	Hypoalbuminaemia
C1994994	Excessive thirst
C0151472	Albumin globulin ratio abnormal
C0021368	Inflammation
C0037926	Spinal cord compression
C0038358	Gastric ulcer
C0043092	Wegener's granulomatosis
C0151726	Injection site hypersensitivity
C0024103	Breast mass
C0852415	Paraesthesias and dysaesthesias
C0860866	Potassium low
C2937220	Malformation venous
C0007760	Cerebellar syndrome
C0235667	Mastitis acute female
C0728936	Unspecified circulatory system disorder
C0030489	Paraproteinaemia
C0549445	Anaemia NOS aggravated
C0429059	Electrocardiogram T wave amplitude decreased
C0015371	Extrapyramidal disorder
C0522055	Electrocardiogram abnormal
C1096343	Infusion site reaction
C0425481	Respiratory sighs
C0235304	Acid indigestion
C0162429	Malnutrition
C0277794	Prostration
C0036508	Seborrhoeic dermatitis
C0026884	Mutism
C1696708	Prehypertension
C0241513	Thyrotropin low
C0035204	Respiratory disorder
C0035321	Retinal tear
C0221727	Oesophageal pain
C0522058	Carbohydrate craving
C0221100	Hangover
C1368065	Vascular purpura
C0263888	Back disorder
C0026918	Mycobacterial infection
C0085614	Atrioventricular block first degree
C0234655	Burning sensation in eye
C0023380	Lethargy
C0149741	Breast discharge
C0007222	Cardiovascular disorder
C0542120	Injection site nodule
C0549150	Pseudofolliculitis barbae
C0549124	Embolism arterial
C0236124	Gastrointestinal obstruction
C0264863	Subacute endocarditis
C0162823	Dermatitis irritant contact
C1167699	Lymphostasis
C0020624	Hypomenorrhoea
C1961112	Decompensation cardiac
C0033797	Pseudodementia
C0233746	Perceptual disturbance
C0332563	Papule
C0033845	Benign intracranial hypertension
C0542313	Sleep talking
C0025218	Chloasma
C0206633	Angiomyolipoma
C0751466	Phonophobia
C0438173	Electrocardiogram QRS complex abnormal
C1112303	Facial wasting
C0949804	Polyomavirus infections
C2243088	Gastritis erosive
C0849835	Lip haemorrhage
C0559546	Adverse reaction
C0085669	Acute leukaemia
C1542178	Lower limb fracture
C0006826	Neoplasm malignant
C0002940	Aneurysm
C0852928	Insomnia exacerbated
C0340274	Gestational hypertension
C0034888	Rectal prolapse
C0917816	Mental deficiency
C0240035	Lung fibrosis interstitial
C2711248	Osteonecrosis of jaw
C0391870	Red blood cell abnormality
C1458140	Bleeding tendency
C0015732	Faecal incontinence
C0151500	Anticholinergic syndrome
C0036983	Septic shock
C1285373	Respiratory disorder neonatal
C0233632	Thinking abnormal
C0948277	Hydrometra
C0239182	Watery diarrhoea
C0917799	Hypersomnia
C0853692	Blood triglycerides increased
C0001125	Lactic acidosis
C0547030	Visual disturbance
C0151811	Subcutaneous nodule
C0026821	Cramp muscle
C0006840	Candida infection
C0235889	Arthritis aggravated
C0267596	Rectal haemorrhage
C0005697	Neurogenic bladder
C0205707	Sprue
C1328539	Reflex tachycardia
C0027438	Nasopharyngeal disorder
C0235721	Heaviness in limbs
C3203457	Procedural haemorrhage
C0743516	Endometrial thickening
C1535849	Application site induration
C0086769	Panic attack
C0595878	Blood sodium increased
C0564622	Albumin urine present
C0392676	Hyperpyrexia
C1536459	Nettle rash
C0277585	Drug intolerance
C0020532	Hypersplenism
C1443060	Feeling abnormal
C0151511	Breast atrophy
C0520966	Coordination abnormal
C0013182	Drug hypersensitivity
C0853198	Gastroenteritis yersinia
C0085136	Central nervous system neoplasm
C0221002	Hyperparathyroidism primary
C0042133	Uterine leiomyoma
C0158687	Congenital genital malformation
C0151713	Hyperchlorhydria
C0010709	Cyst
C1619692	Nephrogenic systemic fibrosis
C0473117	Ischaemic hepatitis
C0023532	Leukoplakia oral
C0576091	Knee deformity
C0235490	Peripheral ischaemia
C0549202	Chapped skin
C0030552	Paresis
C1274594	Lichenoid keratosis
C1096368	Mean platelet volume decreased
C1291077	Abdominal bloating
C0035508	Rhonchi
C0340515	Myocardial depression
C0853945	Oral mucosal blistering
C0149836	Atrophic vulvovaginitis
C0282074	Biliary sludge
C0238124	Necrotising fasciitis
C0852795	Blood insulin increased
C0232488	Abdominal colic
C0566951	Vaginal ulceration
C0041959	Ureteritis
C0020621	Hypokalaemia
C0281856	Generalized aching
C0151589	Partial transitory deafness
C0423602	Sensation of foreign body
C0013589	Ectromelia
C0034215	Pyometra
C0015395	Eye burns
C0851353	Blood and lymphatic system disorders
C0041825	Tympanic membrane disorder
C2240374	Eosinophil count increased
C0011053	Deafness
C0740278	Pelvic peritoneal adhesions
C0151689	Hair discoloration
C0860594	Metastatic malignant melanoma
C0085298	Sudden cardiac death
C0013378	Dysgeusia
C0333641	Atrophy
C0435632	Hand fracture
C0019917	Hordeolum
C0872380	Food craving
C1325847	Sensitisation
C0153618	Malignant neoplasm of renal pelvis
C0917801	Insomnia
C0240925	Salivary gland swelling
C0151818	Opisthotonus
C1328332	Procedural hypertension
C0426636	Defaecation urgency
C0231303	Distress
C0151601	Conjunctival oedema
C0227791	Vaginal discharge
C0684275	Haemophilia
C0025286	Meningioma
C0852149	Ischaemic coronary artery disorders
C0041948	Uremia
C0235467	Angina pectoris aggravated
C0029878	Otitis externa
C0233651	Perseveration
C0239571	Foetor hepaticus
C0022548	Keloid scar
C0034091	Pulmonary veno-occlusive disease
C0085702	Monocytosis
C0520587	Vulvovaginal discomfort
C0426390	Bladder spasm
C0413234	Acute allergic reaction
C0424230	Psychomotor retardation
C0541802	Bicarbonate decreased serum
C0948521	Oral pruritus
C0036439	Scoliosis
C0332534	Induration
C0429774	Residual urine volume
C0006846	Skin candida
C0235575	Hemolytic reaction
C0022573	Keratoconjunctivitis
C0231365	Urination impaired
C0043345	Xeroderma
C0042134	Uterine haemorrhage
C0234133	Extrapyramidal symptoms
C0221776	Oral pain
C0392160	Application site atrophy
C0027497	Nausea
C0016658	Fracture
C0007097	Carcinoma
C0025281	Meniere's disease
C0400822	Lymphocytic colitis
C0019521	Hiccups
C0020550	Hyperthyroidism
C0948050	Small bowel angioedema
C0236065	Oedema mouth
C0274435	Transfusion reaction
C0034933	Reflexes abnormal
C0919823	Cytolytic hepatitis
C0476273	Respiratory distress
C0019054	Haemolysis
C0234665	Eyelid retraction
C0240941	Itchy scalp
C0027726	Nephrotic syndrome
C0042109	Urticaria
C0877690	Renal graft loss
C0035410	Rhabdomyolysis
C0847403	Infective tenosynovitis
C0021831	Unspecified disorder of intestine
C1699324	Pharyngeal mucositis
C0740399	Auditory and visual hallucinations
C0243001	Abdominal abscess
C1167945	Infusion site rash
C0001824	Agranulocytosis
C0522061	Abdominal pain localised
C0003950	Ascariasis
C0549389	Wound discharge increased
C0011071	Sudden death
C0043167	Pertussis
C2242711	Arteritic anterior ischaemic optic neuropathy
C1527411	Retinal vein thrombosis
C0233477	Dysphoria
C0029883	Middle ear effusion
C0853759	Blood potassium abnormal
C0020672	Body temperature decreased
C0151904	Aspartate aminotransferase increased
C0232292	Chest tightness
C0006114	Edema cerebral
C1536080	Coronary stent thrombosis
C0232267	Pericardial rub
C0151798	Hepatic necrosis
C0233479	Elevated mood
C0233754	Derealisation
C0037315	Sleep apnoea syndrome
C0151836	Paranoid reaction
C0518988	Tooth abscess
C0042961	Volvulus
C0086981	Syndrome sicca
C0019123	Haemothorax
C0014518	Toxic epidermal necrolysis
C2004521	Anaemia vitamin B12 deficiency
C0009269	Cold intolerance
C0877306	Iris hyperpigmentation
C0158328	Trigger finger
C1280433	Lipoatrophy
C0029089	Ophthalmoplegia
C0033578	Neoplasm prostate
C0861157	Decreased night vision
C0344375	Stomach cramps
C0919593	Injection site coldness
C0032787	Postoperative complications NOS
C0549447	Urine odour foul
C0877661	Application site burn
C0948002	Crystal urine present
C0006145	Breast disorder
C0018133	Graft versus host disease
C0020510	Nodular regenerative hyperplasia
C0151571	Corneal lesion
C0312420	Hypersexuality
C1868919	Upper abdominal discomfort
C0014724	Eructation
C1740836	Acute migraine
C0007177	Cardiac tamponade
C0948070	Rhinalgia
C0162287	Abnormal faeces
C0235340	Buccal inflammation
C0013312	Dupuytren's contracture
C0149871	Deep vein thrombosis
C0001127	Respiratory acidosis
C1868771	Peritoneal cloudy effluent
C0151584	Injection site cyst
C0236072	Bronchospasm paradoxical
C0338480	Migraine without aura
C0005684	Bladder cancer
C0221269	Pseudolymphoma
C0854331	Herpes simplex dermatitis
C0162557	Acute hepatic failure
C0010073	Arteriospasm coronary
C0022104	Irritable bowel syndrome
C0857751	Erythema multiforme minor
C0393593	Dystonia
C0600041	Bladder infection
C0160390	Liver injury
C0014591	Epistaxis
C0857183	Pre-menstrual tension syndrome
C0221265	Microcytosis
C1142028	Peripheral nerve palsy
C0860901	Protein total decreased
C1736172	Acute cytolytic hepatitis
C0851976	Dyspeptic signs and symptoms
C0015402	Eye haemorrhage
C0855331	Electrocardiogram QT corrected interval
C0015930	Foetal distress syndrome
C1274926	Stinging skin
C3665900	Intraspinal bleeding
C0027849	Neuroleptic malignant syndrome
C0856882	Potassium increased
C1704327	Bone sarcoma
C0265110	Vasospasm cerebral
C0877009	Muscle fibrosis
C0029925	Ovarian carcinoma
C0162835	Leukoderma
C0235129	Feeling strange
C0240291	Mg reduced
C0015300	Exophthalmos
C0013369	Dysentery
C0017665	Glomerulonephritis membranous
C0542184	Reaction gastrointestinal
C0010692	Cystitis
C0030286	Pancreatic disorder
C0024299	Lymphoma
C0014431	Enzyme induction
C0919874	Post procedural haemorrhage
C0277799	Intermittent fever
C0020598	Hypocalcaemia
C0338591	Transient global amnesia
C0424000	Suicidal ideation
C0521494	Application site pigmentation changes
C0238198	Gastrointestinal stromal tumour
C0040436	Tooth erosion
C0278061	Mental state abnormal
C0030312	Pancytopenia
C0428974	Arrhythmia supraventricular
C0877232	Peripheral swelling
C3489393	Hiatus hernia
C0016199	Flank pain
C1142412	Vasodilation procedure
C1141885	Sclerosing encapsulating peritonitis
C1290864	Abdominal disorder
C0019159	Hepatitis A
C0521490	Application site irritation
C1096272	Vanishing bile duct syndrome
C0033687	Proteinuria
C0037933	Spinal disorder
C1318520	Vasculitis necrotising
C1384353	Infestation
C0267841	Acalculous cholecystitis
C0234144	Dysgraphia
C0043049	Water intoxication
C0687675	Pregnancy loss
C0042880	Vitamin K deficiency
C1536055	Drug administration error
C0017416	Female reproductive neoplasm
C0006705	Calcium metabolism disorder
C0240811	Prostate infection
C0020517	Hypersensitivity
C0850638	Infected bites
C1456863	Vasoconstriction
C0007871	Cervical incompetence
C0030201	Postoperative pain
C0566948	Vaginal swelling
C0010200	Cough
C0854388	Caustic injury
C0919715	Lupus-like syndrome
C0007682	Central nervous system disorder
C0853926	Dyspepsia aggravated
C0019158	Hepatitis
C0025290	Meningitis aseptic
C0235198	Cerebration impaired
C0004153	Atherosclerosis
C0233794	Memory impairment
C0857256	Unwell
C0024050	Lower gastrointestinal haemorrhage
C0268732	Nephritic syndrome
C0085653	Pyogenic granuloma
C0542224	Spots before eyes
C0151474	Alcohol intolerance
C0025222	Melaena
C0270549	Generalised anxiety disorder
C0007873	Cervix neoplasm
C0233844	Clumsiness
C0392197	Warmth
C1456784	Paranoia
C0043241	Wound infection
C0038002	Splenomegaly
C0265962	Netherton's syndrome
C0003838	Arterial occlusive disease
C0263912	Rotator cuff syndrome
C0027962	Melanocytic naevus
C0263445	Acne fulminans
C1096274	Corneal thinning
C2609264	Color vision change
C1112442	Female sexual dysfunction
C0025958	Microcephaly
C0853034	Blood creatine phosphokinase increased
C0021308	Infarction
C0031024	Dentoalveolar abscess
C0085271	Self injurious behaviour
C0497327	Dementia
C0009766	Conjunctivitis allergic
C0237020	Dermoid cyst of ovary
C1328377	Oculo-respiratory syndrome
C0231856	Breath sounds abnormal
C0860433	Irreversible renal failure
C0345217	Cloacal exstrophy
C1282609	Granulocytosis
C0006152	Breast swelling
C0239978	Frequent bowel movements
C0740651	Abdominal symptom
C0021053	Immune system disorder
C0221147	Platelet production decreased
C0007107	Laryngeal cancer
C0234192	Feeling cold
C0521170	Osteoporotic fracture
C0221260	Nail dystrophy
C0522064	Regurgitation of food
C0919560	Stent occlusion
C0034931	Reflex sympathetic dystrophy
C0339293	Corneal perforation
C0549405	Blood pressure fluctuation
C0042510	Ventricular fibrillation
C0311468	Blood bilirubin increased
C0949059	Large intestine polyp
C0032019	Pituitary tumour
C0040997	Trigeminal neuralgia
C0549429	Surgical site reaction
C0014848	Oesophageal achalasia
C0014752	Erythrasma
C0085682	Hypophosphataemia
C0451641	Urolithiasis
C0033375	Prolactinoma
C0236141	Electrocardiogram abnormal specific
C0302809	Hepatitis fulminant
C1282799	Penile swelling
C0853711	Sperm count decreased
C0020557	Hypertriglyceridaemia
C0235511	Superficial phlebothrombosis
C0853011	Diabetic hyperglycaemic coma
C0232208	Nodal rhythm
C0863093	Cold symptoms
C0034734	Raynaud's disease
C1112443	Male sexual dysfunction
C0455880	Poor urinary stream
C0004626	Pneumonia bacterial
C0038363	Aphthous stomatitis
C1963822	Mucosal pigmentation
C0558148	Yellow skin
C0476089	Endometrial cancer
C0426747	Anal haemorrhage
C2939465	Glucose-6-phosphate dehydrogenase deficiency
C0162275	Ketonuria
C0024225	Lymphangitis
C0239940	Glycosylated haemoglobin increased
C0438237	Hepatic enzyme abnormal
C0175683	Argininosuccinate synthetase deficiency
C3495440	Bleeding breakthrough
C0007684	Central nervous system infection
C1112353	Medical device complication
C0005686	Bladder disorder
C0877237	Traumatic fracture
C2242582	Cholestatic liver injury
C0263386	Ichthyosis acquired
C0017650	Globus hystericus
C0700075	Motor restlessness
C0238707	Impairment of attention
C0029400	Osteitis
C1305875	Fibroadenosis of breast
C1306503	Exomphalos
C1456329	Stomach dilation procedure
C0011860	Type 2 diabetes mellitus
C0041976	Urethritis
C0424296	Disinhibition
C0741132	Antibody test positive
C0085605	Hepatic failure
C0030326	Panniculitis
C0750016	Generalized urticaria
C0241742	Wound haemorrhage
C0235290	Taste bitter
C0018099	Gout
C1301937	Talipes
C3495947	Atypical stress fracture
C0857807	Accidental ingestion
C0231471	Posture abnormal
C0221725	Bronchial obstruction
C0522214	Visual evoked potentials abnormal
C0542035	Hypoplasia erythroid
C0947964	Reproductive system haemorrhages
C0011603	Dermatitis
C0011127	Decubitus ulcer
C0522351	Vertigo positional
C3241936	Non-cardiogenic pulmonary oedema
C0476327	Serum amylase increased
C2267227	Bulimia nervosa
C0085583	Choreoathetosis
C0281839	Oesophageal rupture
C0424332	Breath holding attack
C0151775	Injection site mass
C1096691	BK virus infection
C0877517	Blood phosphorus decreased
C0266316	Congenital hydronephrosis
C0522035	Upper limb oedema
C0263540	Onychomadesis
C0016436	Folliculitis
C0026265	Mitral valve disease
C0549398	Meibomianitis
C0237938	Gastrointestinal ulcer
C0221170	Muscle stiffness
C0424605	Developmental delay
C0010481	Cushing's syndrome
C0018129	Transplant rejection
C0040588	Tracheo-oesophageal fistula
C2955673	Urate nephropathy
C1096116	Acquired haemophilia
C0282488	Cystitis interstitial
C0522757	Exposure to toxic agent
C0001807	Aggression
C0003123	Anorexia
C0038353	Gastric dilatation
C0004030	Aspergillosis
C2363829	Semen analysis abnormal
C0152031	Joint swelling
C0031345	Pharyngeal disorder
C0221245	Skin fissures
C0030925	Peptic ulcer perforation
C2721737	Application site stinging
C0877131	Urinary tract infection fungal
C0233472	Affect lability
C0221406	Pituitary-dependent Cushing's syndrome
C0575805	Hand swelling
C0877167	Psychomotor skills impaired
C0262977	Skin depigmentation
C0008325	Cholecystitis
C0340279	Ventricular hypertrophy
C0017168	Gastrooesophageal reflux disease
C0152227	Lacrimation increased
C0013609	Localised oedema
C0541772	Ammonia increased
C0549473	Thyroid carcinoma
C0032797	Postpartum haemorrhage
C0852396	Transient cerebrovascular events
C0042514	Ventricular tachycardia
C0685707	Muscular ventricular septal defect
C0034152	Henoch-Schonlein purpura
C3495832	Rheumatic disorder
C0040261	Onychomycosis
C1112469	Cytomegalovirus syndrome
C0427086	Movements involuntary
C0038999	Swelling
C0043515	Zollinger-Ellison syndrome
C0856049	Peripheral embolism
C0162323	Polyarthritis
C0085083	Ovarian hyperstimulation syndrome
C1096188	Puncture site reaction
C0235339	Mouth irritation
C0009088	Cluster headache
C0035258	Restless legs syndrome
C0032300	Lobar pneumonia
C0007166	Cardiac output decreased
C0853141	Therapeutic response unexpected
C0877048	Oral fungal infection
C0151565	Hemorrhagic colitis
C0232431	Cold sweat
C0278883	Metastatic melanoma
C0014742	Erythema multiforme
C0151538	Buccoglossal syndrome
C0858176	Serum sodium abnormal
C0006434	Burn
C0151754	Lactic dehydrogenase activity increased
C0409974	Lupus erythematosus
C0877440	Erythema periorbital
C0520933	Spermatogenesis abnormal
C1276146	Lymphoma cutis
C1704431	Electrolyte disturbance
C2939186	Mood alteration NOS
C0023267	Leiomyoma
C0011615	Dermatitis atopic
C0032326	Pneumothorax
C0436503	Chest X-ray abnormal
C0042996	Vulvitis
C0376286	Avitaminosis
C0022890	Labyrinthine disorder
C3544214	Reversible cerebral vasoconstriction syndrome
C0520573	Buffalo hump
C0039103	Synovitis
C0016325	Fluorosis
C0014527	Epidermolysis bullosa
C0340909	Arteriovenous fistula thrombosis
C0272774	Foot fracture
C0553723	Squamous cell carcinoma of skin
C0005683	Calculus bladder
C0007114	Skin cancer
C0235195	Sedation
C0023418	Leukaemia
C0032226	Pleural disorder
C0920289	Sluggishness
C0860207	Drug-induced liver injury
C0032708	Porphyrin metabolism disorder
C0027121	Myositis
C0149937	Acute interstitial nephritis
C0852879	Pulmonary alveolar haemorrhage
C0541798	Terminal insomnia
C0085593	Chills
C0156543	Abortion
C0151467	Adrenocortical insufficiency acute
C0521634	Genital itching female
C0079487	Helicobacter infection
C0853023	Blood parathyroid hormone increased
C0854954	Ovarian germ cell teratoma benign
C0857983	Serum testosterone decreased
C0014358	Pseudomembranous enterocolitis
C0019064	Pericardial haemorrhage
C0010414	Cryptococcosis
C0030232	Pallor
C0410919	Bradycardia foetal
C3665624	Blood calcium decreased
C0947864	Application and instillation site reactions
C0037195	Sinus headache
C0040262	Tinea versicolour
C1608950	Device dislocation
C0302810	Uraemic syndrome
C0029453	Osteopenia
C0392163	Corneal erosion
C0015929	Foetal disorder
C0877508	Irritation gum
C0007820	Cerebrovascular disorder
C0234930	Skin odour abnormal
C0403723	Candiduria
C0424091	Decreased interest
C0560637	Genital injury
C0031099	Periodontitis
C0853959	Device breakage
C0015376	Extravasation
C0009918	Joint contracture
C0014852	Oesophageal disorder
C0549250	Jaw stiffness
C0876975	Pruritus NEC
C0235228	Lacrimal gland disorder
C0263978	Soft tissue disorder
C0178421	Fibroadenoma of breast
C0235620	Haemorrhage urinary tract
C0003537	Aphasia
C0003860	Arteritis
C0017152	Gastritis
C0030583	Parotitis
C0233571	Excitement
C0034183	Pyelitis
C0233528	Asocial behaviour
C0151763	Hepatocellular injury
C1621958	Glioblastoma multiforme
C0497247	Blood pressure increased
C0034372	Quadriplegia
C0029396	Ectopic ossification
C0028961	Oliguria
C0741553	Hemorrhage abnormal
C0241005	Creatine phosphokinase serum increased
C0206061	Interstitial pneumonia
C0262985	Dermatitis psoriasiform
C0015403	Eye infection
C0032290	Pneumonia aspiration
C0020440	Hypercapnia
C0406834	Wound secretion
C0018802	Cardiac failure congestive
C0020579	Hypervitaminosis A
C0919892	Blood pressure inadequately controlled
C0151905	Alanine aminotransferase increased
C1262760	Drug-induced hepatitis
C0030293	Pancreatic insufficiency
C0861148	Proarrhythmia
C0553698	Monocyte count increased
C0025312	Meningomyelocele
C0026633	Congenital oral malformation
C0158026	Monarthritis
C0007095	Carcinoid tumour
C0015734	Faecalith
C0424741	Cold feet
C2609269	Fasting hyperglycaemia
C0520888	Electrocardiogram T wave inversion
C2747891	Device capturing issue
C0040923	Trichomonal vaginitis
C0858854	Unrest
C0023530	Leukopenia
C1704272	Benign prostatic hyperplasia
C0015970	Fever of unknown origin
C0860801	Glucose low
C0034628	Radius fracture
C0206093	Neuroectodermal neoplasm
C1112256	Peripheral sensorimotor neuropathy
C3203356	Hypoprothrombinaemia
C1141938	Ocular icterus
C0877314	Blood glucose fluctuation
C0030193	Pain
C0030805	Pemphigoid
C0235299	Right upper quadrant pain
C0851536	Administration site reaction
C0273482	Nerve compression
C0475858	Pruritus generalised
C0008035	Chest wall pain
C0235939	Crying abnormal
C0428977	Bradycardia
C0018188	Granuloma
C0856120	Multiple sclerosis relapse
C0242770	Bronchiolitis obliterans with organizing pneumonia
C0238425	Sickle cell anaemia with crisis
C0152081	Pustular psoriasis
C0036689	Pharyngitis streptococcal
C0152517	Viral diarrhoea
C0085681	Hyperphosphataemia
C0948595	Ocular discomfort
C0000833	Abscess
C0221395	Erythropenia
C0549395	Blood urea decreased
C2937358	Cerebral haemorrhage
C0037384	Snoring
C0023470	Myeloid leukaemia
C1260922	Respiration abnormal
C0235086	Muscle contractions involuntary
C0221252	Eruptive xanthoma
C0236171	Infection susceptibility increased
C0009024	Clonus
C1141930	Post procedural complication
C1168290	Drug-induced hypersensitivity syndrome
C0849796	Ear congestion
C1142172	Incision site complication
C0242073	Pulmonary congestion
C0852875	Eye allergy
C0002390	Alveolitis allergic
C0020538	Hypertension
C0030469	Sinus disorder
C0399459	Oral discomfort
C1868709	Activation syndrome
C0159877	Ankle fracture
C0085661	Onycholysis
C0038986	Sweat gland disorder
C0235168	Nervous tremulousness
C0151699	Haemorrhage intracranial
C0851377	Gastrointestinal inflammatory conditions
C0221333	Hypouricaemia
C0235857	Lacrimation decreased
C0010037	Corneal oedema
C0019372	Herpes virus infection
C0269173	Fallopian tube cyst
C0267055	Erosive oesophagitis
C0259749	Autonomic neuropathy
C1167965	Urine output increased
C0004044	Asphyxia
C1167791	Skin toxicity
C1720798	Radiation recall reaction (dermatologic)
C0596240	Cancer pain
C0553681	Hypofibrinogenaemia
